year,region,production_type,value,unit,months_reported,source
2015,California,gas,236649.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,California,oil,201283.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Colorado,gas,1688733.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Colorado,oil,122133.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,New Mexico,gas,1296793.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,New Mexico,oil,148096.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,North Dakota,gas,584633.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,North Dakota,oil,429595.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Ohio,gas,1007271.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Ohio,oil,27102.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Oklahoma,gas,2499598.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Oklahoma,oil,165548.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Pennsylvania,gas,4812981.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Pennsylvania,oil,7091.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Texas,gas,8799465.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Texas,oil,1262738.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,West Virginia,gas,1315247.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,West Virginia,oil,8302.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2015,Wyoming,gas,1995920.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2015,Wyoming,oil,86457.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,California,gas,205024.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,California,oil,186080.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Colorado,gas,1688376.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Colorado,oil,115968.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,New Mexico,gas,1282666.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,New Mexico,oil,146633.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,North Dakota,gas,608850.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,North Dakota,oil,377801.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Ohio,gas,1437285.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Ohio,oil,21926.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Oklahoma,gas,2468312.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Oklahoma,oil,155034.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Pennsylvania,gas,5210207.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Pennsylvania,oil,6183.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Texas,gas,8156299.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Texas,oil,1170701.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,West Virginia,gas,1384460.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,West Virginia,oil,7635.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2016,Wyoming,gas,1848623.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2016,Wyoming,oil,72658.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,California,gas,212458.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,California,oil,173948.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Colorado,gas,1710642.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Colorado,oil,129943.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,New Mexico,gas,1323020.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,New Mexico,oil,172332.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,North Dakota,gas,688599.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,North Dakota,oil,390585.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Ohio,gas,1791359.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Ohio,oil,19961.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Oklahoma,gas,2513897.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Oklahoma,oil,165479.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Pennsylvania,gas,5453639.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Pennsylvania,oil,6461.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Texas,gas,8079975.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Texas,oil,1277308.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,West Virginia,gas,1514279.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,West Virginia,oil,8448.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2017,Wyoming,gas,1715733.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2017,Wyoming,oil,75745.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,California,gas,202616.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,California,oil,160659.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Colorado,gas,1853422.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Colorado,oil,169142.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,New Mexico,gas,1540985.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,New Mexico,oil,249302.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,North Dakota,gas,860817.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,North Dakota,oil,460414.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Ohio,gas,2403382.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Ohio,oil,22986.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Oklahoma,gas,2875786.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Oklahoma,oil,200709.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Pennsylvania,gas,6264833.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Pennsylvania,oil,6389.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Texas,gas,9109174.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Texas,oil,1612722.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,West Virginia,gas,1771699.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,West Virginia,oil,12738.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
2018,Wyoming,gas,1720897.0,Million Cubic Feet (annual total),12,EIA v2 natural-gas/prod/sum
2018,Wyoming,oil,87960.0,Thousand Barrels (annual total),12,EIA v2 petroleum/crd/crpdn
